carat,c0lor,clarity,prise,cut
0.72,F,SI1,2777,Very Good
0.7,E,SI1,2777,Very Good
0.7,E,SI1,2777,Very Good
0.7,E,SI1,2777,Very Good
0.7,E,VS2,2777,Very Good
0.98,H,SI2,2777,Good
0.78,F,NA,2777,Very Good
0.7,E,SI1,2777,Very Good
0.52,F,VVS1,2778,Premium
0.73,H,VS2,2779,Very Good
0.74,E,SI1,2779,Very Good
0.7,F,VS2,2780,Very Good
0.77,G,VS2,2780,Very Good
0.71,F,VS2,2780,Very Good
0.74,G,VS1,2780,Very Good
0.7,G,VS1,2780,Very Good
1.01,F,I1,2781,Good
0.77,H,SI1,2781,Very Good
0.78,H,NA,2781,Very Good
0.72,H,VS1,2782,Very Good
0.53,D,VVS2,2782,Premium
0.76,G,VS2,2782,Very Good
0.7,E,VS1,2782,Very Good
0.7,E,VS1,2782,Very Good
0.75,D,SI2,2782,Very Good
0.72,D,SI1,2782,Very Good
0.72,D,SI1,2782,Very Good
0.7,D,SI1,2782,Very Good
0.84,G,SI1,2782,Very Good
0.75,F,SI1,2782,Very Good
0.52,F,IF,2783,Premium
0.72,F,VS2,2784,Very Good
0.79,H,NA,2784,Very Good
0.72,F,VS2,2787,Very Good
0.51,F,VVS1,2787,Ideal
0.64,D,VS1,2787,Premium
0.7,H,VVS1,2788,Very Good
0.83,I,VS1,2788,Very Good
0.76,I,VVS2,2788,Very Good
0.71,D,VS2,2788,Very Good
0.77,G,VS1,2788,Very Good
0.71,F,SI1,2788,Very Good
1.01,E,NA,2788,Good
1.01,H,SI2,2788,Good
0.77,F,SI1,2789,Very Good
0.76,E,SI1,2789,Very Good
0.76,E,SI1,2789,Very Good
0.76,E,SI1,2789,Very Good
1.05,J,SI2,2789,Good
0.81,G,SI2,2789,Very Good
0.7,E,NA,2789,Very Good
0.55,G,IF,2789,Premium
0.81,G,SI2,2789,Very Good
0.63,E,VVS2,2789,Premium
0.63,E,VVS1,2789,Premium
0.77,H,VS1,2789,Very Good
1.05,J,SI2,2789,Good
0.64,G,IF,2790,Premium
0.76,I,VVS1,2790,Very Good
0.83,F,SI2,2790,Very Good
0.71,F,NA,2790,Very Good
0.71,F,VS1,2790,Very Good
0.87,I,SI1,2791,Very Good
0.73,E,SI1,2791,Very Good
0.71,E,SI1,2792,Very Good
0.71,E,SI1,2792,Very Good
0.71,E,SI1,2792,Very Good
0.7,F,VS1,2792,Very Good
0.7,F,VS1,2792,Very Good
0.76,H,VVS2,2792,Very Good
0.7,F,VS1,2792,Very Good
0.79,G,SI1,2793,Very Good
0.7,E,VS2,2793,Very Good
0.7,E,VS2,2793,Very Good
0.76,I,NA,2793,Very Good
0.73,H,VS2,2793,Very Good
0.79,E,SI1,2794,Very Good
0.71,E,VS2,2795,Very Good
0.81,I,VVS2,2795,Very Good
0.81,F,NA,2795,Very Good
0.72,F,NA,2795,Very Good
0.72,D,SI2,2795,Very Good
0.72,I,IF,2795,Very Good
0.81,H,VS2,2795,Very Good
0.72,G,VS2,2795,Very Good
1,I,SI2,2795,Good
0.73,E,SI1,2796,Very Good
0.81,H,NA,2797,Very Good
0.81,E,SI1,2797,Very Good
0.71,D,SI1,2797,Very Good
0.71,D,SI1,2797,Very Good
0.71,D,SI1,2797,Very Good
0.57,F,VVS2,2797,Premium
0.51,D,VVS1,2797,Ideal
0.72,G,VS2,2797,Very Good
0.74,H,VS1,2797,Very Good
0.74,H,VS1,2797,Very Good
0.7,G,VVS1,2797,Very Good
0.8,F,SI2,2797,Very Good
1.01,E,SI2,2797,Good
0.8,H,VS2,2797,Very Good
0.77,I,VS1,2798,Very Good
0.83,E,SI2,2799,Very Good
0.82,F,NA,2799,Very Good
0.78,D,SI1,2799,Very Good
0.6,G,IF,2800,Premium
0.9,I,SI2,2800,Very Good
0.7,E,VS1,2800,Very Good
0.9,I,SI2,2800,Very Good
0.83,G,NA,2800,Very Good
0.83,G,SI1,2800,Very Good
0.83,H,SI1,2800,Very Good
0.74,G,VS1,2800,Very Good
0.79,I,VS1,2800,Very Good
0.61,G,IF,2800,Premium
0.76,G,VS1,2800,Very Good
0.96,F,NA,2801,Good
0.73,F,VS2,2801,Very Good
0.73,F,NA,2801,Very Good
0.75,H,NA,2801,Very Good
0.71,F,VS2,2801,Very Good
0.71,F,VS2,2801,Very Good
0.71,F,VS2,2801,Very Good
0.71,F,VS2,2801,Very Good
1.04,G,NA,2801,Good
1,J,SI2,2801,Good
0.87,G,SI2,2802,Very Good
0.53,F,IF,2802,Premium
0.72,E,NA,2802,Very Good
0.72,F,VS1,2802,Very Good
0.7,F,VS2,2803,Very Good
0.74,E,SI1,2803,Very Good
0.71,G,VS2,2803,Very Good
0.73,E,SI1,2803,Very Good
0.7,G,VS1,2803,Very Good
0.71,F,VS2,2803,Very Good
0.71,F,VS2,2803,Very Good
0.71,G,VS1,2803,Very Good
0.77,G,VS2,2803,Very Good
0.71,G,VS2,2803,Very Good
0.78,G,VS2,2803,Very Good
0.71,G,VS1,2803,Very Good
0.91,D,SI2,2803,Very Good
0.71,E,VS2,2804,Very Good
0.71,E,VS2,2804,Very Good
0.8,E,SI2,2804,Very Good
0.7,D,SI1,2804,Very Good
0.72,F,VS1,2804,Very Good
0.72,F,VS1,2804,Very Good
0.82,H,VS2,2804,Very Good
0.7,D,SI1,2804,Very Good
0.72,D,SI1,2804,Very Good
0.72,D,NA,2804,Very Good
0.9,I,SI1,2804,Very Good
0.74,F,NA,2805,Very Good
0.74,F,VS2,2805,Very Good
0.73,E,SI2,2805,Very Good
0.57,E,VVS1,2805,Premium
0.73,F,VS2,2805,Very Good
0.72,G,VS2,2805,Very Good
0.74,F,NA,2805,Very Good
0.82,G,VS2,2805,Very Good
0.81,G,SI1,2806,Very Good
0.75,H,VVS1,2806,Very Good
0.7,F,SI1,2806,Very Good
0.71,F,VS1,2807,Very Good
0.71,F,NA,2807,Very Good
0.93,J,SI2,2807,Good
0.8,H,VS2,2808,Very Good
0.7,F,NA,2808,Very Good
1,G,I1,2808,Good
0.75,G,VS2,2808,Very Good
0.58,E,VVS2,2808,Premium
0.73,D,SI1,2808,Very Good
0.81,F,SI1,2809,Very Good
0.81,D,SI2,2809,Very Good
0.71,F,SI1,2809,Very Good
1.2,F,I1,2809,Good
0.7,F,VS1,2810,Very Good
0.7,F,VS1,2810,Very Good
0.74,D,SI2,2810,Very Good
0.7,F,VS1,2810,Very Good
0.8,G,NA,2810,Very Good
0.75,F,SI1,2811,Very Good
0.83,D,NA,2811,Very Good
1,J,VS2,2811,Good
0.99,I,SI2,2811,Good
0.7,G,VS1,2812,Very Good
0.7,F,VS2,2812,Very Good
0.7,E,SI1,2812,Very Good
0.7,F,VS2,2812,Very Good
0.32,I,SI1,554,Fair
0.32,I,SI1,554,Fair
0.32,I,SI1,554,Fair
0.32,I,SI1,554,Fair
0.32,I,SI1,554,Fair
0.32,I,SI1,554,Fair
0.3,H,SI1,554,Fair
0.3,H,SI1,554,Fair
0.3,H,SI1,554,Fair
0.3,H,SI1,554,Fair
0.3,H,SI1,554,Fair
0.3,H,SI1,554,Fair
0.3,H,SI1,554,Fair
0.32,I,SI1,554,Fair
0.33,H,SI2,554,Fair
0.29,E,VS1,555,Fair
0.29,E,VS1,555,Fair
0.31,F,SI1,555,Fair
0.34,H,VS2,555,Fair
0.34,H,VS2,555,Fair
0.34,I,VS1,555,Fair
0.34,I,VS1,555,Fair
0.3,G,NA,555,Fair
0.29,F,VS1,555,Fair
0.35,G,SI1,555,Fair
0.43,E,I1,555,Fair
0.32,F,VS2,556,Fair
0.36,I,VS2,556,Fair
0.3,G,VS2,556,Fair
0.26,E,VS1,556,Fair
0.7,F,VS2,2812,Very Good
0.7,F,VS2,2812,Very Good
0.71,D,SI1,2812,Very Good
0.99,J,SI1,2812,Good
0.73,E,VS2,2812,Very Good
0.51,F,VVS1,2812,Ideal
0.91,G,SI2,2813,Very Good
0.84,E,SI1,2813,Very Good
0.91,I,VS2,2813,Very Good
0.76,E,SI1,2814,Very Good
0.76,E,SI1,2814,Very Good
0.75,E,NA,2814,Very Good
0.55,D,VVS1,2815,Premium
0.76,F,SI2,2815,Very Good
0.74,G,NA,2815,Very Good
0.7,H,SI1,2815,Very Good
0.7,H,SI1,2815,Very Good
0.7,H,NA,2815,Very Good
0.7,H,SI1,2815,Very Good
0.9,J,VS2,2815,Very Good
0.95,F,SI2,2815,Good
0.89,H,SI2,2815,Very Good
0.72,E,VS2,2815,Very Good
0.96,E,SI2,2815,Good
1.02,G,I1,2815,Good
0.78,I,VVS2,2816,Very Good
0.61,G,VVS2,2816,Premium
0.71,D,VS1,2816,Very Good
0.78,F,SI1,2816,Very Good
0.87,H,SI2,2816,Very Good
0.83,H,SI1,2816,Very Good
0.71,E,SI1,2817,Very Good
0.71,I,VVS2,2817,Very Good
0.71,E,VS2,2817,Very Good
0.71,E,VS2,2817,Very Good
0.63,F,VVS2,2817,Premium
0.71,E,SI1,2817,Very Good
0.71,E,SI1,2817,Very Good
0.71,E,NA,2817,Very Good
0.71,E,SI1,2817,Very Good
0.9,J,VS2,2817,Very Good
0.71,E,SI1,2817,Very Good
0.7,E,VS2,2818,Very Good
0.7,E,VS2,2818,Very Good
0.7,E,VS2,2818,Very Good
1,H,I1,2818,Good
0.86,F,SI2,2818,Very Good
0.8,H,SI1,2818,Very Good
0.7,E,VS1,2818,Very Good
0.7,E,VS1,2818,Very Good
0.7,F,VS2,2818,Very Good
0.7,E,VS1,2818,Very Good
1,H,SI2,2818,Good
0.72,G,NA,2819,Very Good
0.72,H,NA,2819,Very Good
0.7,F,VS1,2819,Very Good
0.86,F,SI2,2819,Very Good
0.71,G,VS1,2820,Very Good
0.75,E,SI1,2821,Very Good
0.73,E,VS2,2821,Very Good
0.53,E,VVS1,2821,Premium
0.73,E,SI1,2821,Very Good
0.73,E,SI1,2821,Very Good
0.73,E,SI1,2821,Very Good
0.73,E,SI1,2821,Very Good
0.73,D,NA,2821,Very Good
0.73,E,SI1,2821,Very Good
0.7,E,VS1,2822,Very Good
0.72,E,VS2,2822,Very Good
0.72,E,VS2,2822,Very Good
0.72,E,VS2,2822,Very Good
0.7,E,VS2,2822,Very Good
0.6,F,VVS2,2822,Premium
0.74,I,VVS1,2822,Very Good
0.73,F,SI1,2822,Very Good
0.71,D,SI1,2822,Very Good
0.71,D,SI1,2822,Very Good
0.7,D,SI1,2822,Very Good
0.7,D,SI1,2822,Very Good
0.9,J,VS2,2822,Very Good
0.71,D,SI1,2822,Very Good
0.7,E,VS2,2822,Very Good
0.7,E,VS2,2822,Very Good
0.7,D,SI1,2822,Very Good
0.7,E,SI1,2822,Very Good
0.7,D,NA,2822,Very Good
0.7,D,SI1,2822,Very Good
0.7,E,VS2,2822,Very Good
0.7,F,VS2,2822,Very Good
0.7,D,SI1,2822,Very Good
0.79,D,SI2,2823,Very Good
0.9,I,SI1,2823,Very Good
0.71,E,VS2,2823,Very Good
0.61,E,VVS2,2823,Premium
0.9,H,SI2,2823,Very Good
0.71,E,SI1,2823,Very Good
0.71,D,VS2,2824,Very Good
0.77,I,VVS2,2824,Very Good
0.74,E,VS1,2824,Very Good
0.82,F,SI2,2824,Very Good
0.82,E,SI2,2824,Very Good
0.71,G,VS1,2825,Very Good
0.83,H,SI1,2825,Very Good
0.73,G,VS1,2825,Very Good
0.83,H,SI1,2825,Very Good
1.17,J,I1,2825,Good
0.91,H,SI2,2825,Very Good
0.73,E,NA,2826,Very Good
0.7,E,VS1,2826,Premium
0.9,I,SI2,2826,Very Good
0.7,E,VS1,2826,Premium
0.7,D,NA,2826,Premium
0.7,E,VS1,2826,Premium
0.9,I,SI2,2826,Very Good
0.78,F,NA,2826,Very Good
0.96,F,I1,2826,Good
0.7,D,SI1,2827,Premium
0.72,D,NA,2827,Very Good
0.79,H,NA,2827,Very Good
0.7,H,VVS1,2827,Premium
0.7,H,VVS1,2827,Premium
0.7,D,SI2,2828,Premium
1.01,H,NA,2828,Good
0.72,F,VS1,2829,Very Good
0.8,E,SI2,2829,Very Good
0.59,E,VVS1,2829,Premium
0.72,F,VS1,2829,Very Good
0.75,E,SI2,2829,Very Good
0.8,E,SI2,2829,Very Good
0.71,E,VS2,2830,Very Good
0.77,H,SI1,2830,Very Good
0.97,F,I1,2830,Good
0.53,F,VVS1,2830,Premium
0.53,F,VVS1,2830,Premium
0.8,I,VS2,2830,Very Good
0.9,G,SI1,2830,Very Good
0.76,E,SI2,2831,Very Good
0.72,E,SI1,2831,Very Good
0.75,E,SI1,2831,Very Good
0.72,E,SI1,2831,Very Good
0.79,G,SI1,2831,Very Good
0.72,F,VS2,2832,Very Good
0.91,I,NA,2832,Very Good
0.71,G,VVS2,2832,Very Good
0.81,G,SI1,2832,Very Good
0.82,H,SI1,2832,Very Good
0.71,F,VS1,2832,Very Good
0.9,J,SI1,2832,Very Good
0.8,I,VS2,2833,Very Good
0.56,E,IF,2833,Premium
0.7,D,VS2,2833,Premium
0.7,D,VS2,2833,Premium
0.61,F,VVS2,2833,Premium
0.85,H,SI2,2833,Very Good
0.7,F,SI1,2833,Premium
0.8,G,NA,2834,Very Good
0.8,H,VS2,2834,Very Good
0.51,D,VVS1,2834,Ideal
0.53,F,VVS1,2834,Premium
0.78,I,VS2,2834,Very Good
0.9,J,SI1,2834,Very Good
0.9,G,SI2,2834,Very Good
0.77,E,SI2,2834,Very Good
0.73,F,VS1,2835,Very Good
0.63,F,VVS2,2835,Premium
0.7,E,VS2,2835,Premium
0.72,E,VS2,2835,Very Good
0.72,E,SI1,2835,Very Good
0.75,F,VS2,2835,Very Good
0.82,H,SI1,2836,Very Good
0.71,E,VS2,2836,Very Good
0.7,E,VS1,2837,Premium
0.7,E,VS1,2837,Premium
0.71,F,SI1,2838,Very Good
0.76,H,SI1,2838,Very Good
0.82,F,SI1,2838,Very Good
0.72,F,VS1,2838,Very Good
0.7,F,VS2,2838,Premium
0.7,F,NA,2838,Premium
0.7,G,VS1,2838,Premium
0.7,F,VS2,2838,Premium
0.7,E,NA,2838,Premium
0.7,F,VS2,2838,Premium
0.7,F,VS2,2838,Premium
0.7,G,VS1,2838,Premium
0.74,E,SI1,2839,Very Good
0.71,F,VS1,2839,Very Good
0.7,F,VS1,2839,Premium
0.71,F,NA,2839,Very Good
0.71,F,VS1,2839,Very Good
0.71,F,VS1,2839,Very Good
0.71,F,VS1,2839,Very Good
0.7,F,NA,2839,Premium
0.73,G,VS2,2839,Very Good
0.7,E,NA,2839,Premium
0.7,G,VS1,2839,Premium
0.71,G,VVS2,2839,Very Good
0.71,F,NA,2839,Very Good
0.79,G,VS2,2839,Very Good
0.71,F,VS1,2839,Very Good
0.77,H,VS1,2840,Very Good
0.75,F,SI2,2840,Very Good
0.7,F,SI1,2840,Premium
0.71,F,VS2,2840,Very Good
0.92,D,SI2,2840,Very Good
0.83,F,SI2,2840,Very Good
0.7,H,VVS1,2840,Premium
0.73,F,VS2,2841,Very Good
0.71,D,VS1,2841,Very Good
0.73,D,NA,2841,Very Good
0.82,F,SI2,2841,Very Good
0.82,F,SI2,2841,Very Good
0.82,F,SI2,2841,Very Good
0.52,F,VVS1,2841,Ideal
1,F,I1,2841,Good
0.95,G,SI1,2841,Good
0.73,D,NA,2841,Very Good
0.73,F,VS2,2841,Very Good
0.73,G,VS1,2841,Very Good
0.8,I,VS1,2842,Very Good
0.7,F,VS2,2842,Premium
0.7,E,VS2,2843,Premium
0.7,E,VS2,2843,Premium
0.71,E,VS2,2843,Very Good
0.81,F,SI2,2843,Very Good
0.71,D,SI1,2843,Very Good
0.73,G,VVS2,2843,Very Good
0.73,F,VS1,2843,Very Good
0.72,E,VS2,2843,Very Good
0.81,F,SI2,2843,Very Good
0.71,G,VVS2,2843,Very Good
0.73,E,SI1,2844,Very Good
0.7,E,VS1,2844,Premium
1.01,I,I1,2844,Good
1.01,I,I1,2844,Good
0.79,H,VS2,2844,Very Good
0.7,E,VS2,2845,Premium
0.7,E,VS2,2845,Premium
0.8,H,VS2,2845,Very Good
1.27,H,SI2,2845,Fair
0.79,D,SI1,2846,Very Good
0.72,F,VS1,2846,Very Good
0.73,H,NA,2846,Very Good
1.01,H,SI2,2846,Good
1.01,H,I1,2846,Good
0.73,E,SI1,2846,Very Good
0.7,E,SI1,2846,Premium
0.7,F,VS2,2846,Premium
0.77,E,SI1,2846,Very Good
0.77,G,VS2,2846,Very Good
0.77,G,VS1,2846,Very Good
0.84,H,SI1,2847,Very Good
0.72,E,SI1,2847,Very Good
0.76,D,NA,2847,Very Good
0.7,G,VVS2,2848,Premium
0.54,D,VVS2,2848,Premium
0.75,D,SI2,2848,Very Good
0.79,E,SI1,2849,Very Good
0.74,E,VS1,2849,Very Good
0.7,E,VS2,2850,Premium
0.7,F,VS2,2850,Premium
0.75,J,SI1,2850,Very Good
1.2,H,I1,2850,Good
0.8,F,SI1,2851,Very Good
0.66,D,VS1,2851,Premium
0.87,F,SI2,2851,Very Good
0.86,H,SI1,2851,Very Good
0.74,F,SI1,2851,Very Good
0.58,E,IF,2852,Premium
0.78,I,VS1,2852,Very Good
0.74,G,SI1,2852,Very Good
0.73,E,SI1,2852,Very Good
0.91,I,SI1,2852,Very Good
0.71,F,VS2,2853,Very Good
0.71,G,VS1,2853,Very Good
0.79,D,SI2,2853,Very Good
0.79,D,SI2,2853,Very Good
0.71,E,SI1,2853,Very Good
0.82,I,VS1,2853,Very Good
0.78,H,VS1,2854,Very Good
0.7,E,NA,2854,Premium
1.12,H,I1,2854,Good
0.73,E,VS2,2854,Very Good
0.91,J,VS2,2854,Very Good
0.91,J,VS2,2854,Very Good
0.91,J,NA,2854,Very Good
0.91,H,SI1,2854,Very Good
0.7,E,VS1,2854,Premium
0.68,F,VVS2,2854,Premium
0.73,F,VS2,2855,Very Good
1.03,J,SI1,2855,Good
0.74,D,VS2,2855,Very Good
0.98,E,SI2,2855,Good
1.02,I,SI1,2856,Good
1,G,SI2,2856,Good
1.02,H,SI2,2856,Good
0.6,F,VVS2,2856,Premium
0.8,G,NA,2856,Very Good
0.97,F,I1,2856,Good
1,I,SI1,2856,Good
0.26,E,VS1,556,Fair
0.26,E,VS1,556,Fair
0.36,H,SI1,556,Fair
0.34,G,VS2,556,Fair
0.34,E,SI1,556,Fair
0.34,E,SI1,556,Fair
0.34,E,SI1,556,Fair
0.34,G,VS2,556,Fair
0.34,E,SI1,556,Fair
0.32,E,VS2,556,Fair
0.31,I,VVS1,557,Fair
0.31,I,VVS1,557,Fair
0.31,I,VVS1,557,Fair
0.31,I,VVS1,557,Fair
0.31,I,VVS1,557,Fair
0.31,I,VVS1,557,Fair
0.31,G,VS2,557,Fair
0.31,H,VS1,557,Fair
0.31,H,VS1,557,Fair
0.33,G,SI2,557,Fair
0.33,F,SI2,557,Fair
0.33,G,SI2,557,Fair
0.33,G,NA,557,Fair
0.33,F,NA,557,Fair
0.33,J,VS1,557,Fair
0.33,J,VS1,557,Fair
0.33,J,VS1,557,Fair
0.33,I,SI1,557,Fair
0.33,I,SI1,557,Fair
0.33,I,SI1,557,Fair
1,H,SI2,2856,Good
0.77,F,SI1,2856,Very Good
0.77,F,SI1,2856,Very Good
0.7,E,VVS2,2857,Premium
0.9,G,SI2,2857,Very Good
0.72,E,NA,2857,Very Good
0.9,I,VS2,2857,Very Good
0.72,E,SI1,2857,Very Good
0.7,G,VVS2,2858,Premium
0.81,F,SI1,2858,Very Good
0.81,F,SI1,2858,Very Good
0.71,E,VS2,2858,Very Good
0.7,E,VS2,2858,Premium
0.71,E,VS2,2858,Very Good
0.71,E,VS2,2858,Very Good
0.92,J,SI1,2858,Very Good
0.76,E,SI1,2858,Very Good
0.73,D,SI1,2858,Very Good
0.71,D,VS2,2858,Very Good
0.7,E,VVS2,2858,Premium
0.9,G,SI2,2858,Very Good
0.71,D,VS2,2858,Very Good
0.7,D,VS2,2859,Premium
0.7,D,VS2,2859,Premium
0.77,F,VS1,2859,Very Good
0.71,G,VS1,2859,Very Good
0.7,D,VS2,2859,Premium
0.75,F,VS1,2859,Very Good
0.83,E,SI2,2859,Very Good
0.71,F,VS2,2860,Very Good
0.9,J,SI2,2860,Very Good
0.6,E,VVS2,2860,Premium
0.71,D,VS1,2860,Very Good
0.53,F,VVS1,2860,Premium
0.71,D,SI1,2861,Very Good
0.62,G,VVS2,2861,Premium
0.62,G,VVS2,2861,Premium
0.9,I,SI1,2861,Very Good
0.62,F,IF,2861,Premium
0.82,E,SI2,2861,Very Good
0.66,D,VS1,2861,Premium
0.7,D,SI1,2862,Premium
0.8,F,NA,2862,Very Good
0.8,D,SI2,2862,Very Good
0.79,F,SI1,2862,Very Good
0.71,F,VVS1,2862,Very Good
0.7,H,VS2,2862,Premium
0.7,E,VS2,2862,Premium
0.79,H,VS1,2862,Very Good
0.7,E,VS2,2862,Premium
1.22,E,I1,2862,Good
1.01,E,SI2,2862,Good
0.73,E,VS2,2862,Very Good
0.91,I,NA,2863,Very Good
0.71,D,SI1,2863,Premium
0.83,G,SI1,2863,Very Good
